n_group,n_partitions,num_div_y,num_div_x,device_group
0,1,201.0,102.0,2
1,1,1062.0,1035.0,2
2,1,483.0,1059.0,2
3,1,159.0,111.0,2
4,1,66.0,114.0,2
5,1,120.0,12.0,2
6,1,24.0,12.0,2
7,2,27.0,12.0,2
8,42,3.0,12.0,2
9,1,30.0,12.0,2
10,4,33.0,12.0,2
11,1,36.0,12.0,2
12,5,39.0,12.0,2
13,1,42.0,12.0,2
14,1,48.0,12.0,2
15,1,51.0,12.0,2
16,1,54.0,12.0,2
17,8,6.0,12.0,2
18,1,96.0,12.0,2
19,1,9.0,129.0,2
20,1,114.0,132.0,2
21,1,57.0,132.0,2
22,1,102.0,135.0,2
23,1,1044.0,1371.0,2
24,1,111.0,141.0,2
25,1,93.0,141.0,2
26,1,108.0,15.0,2
27,1,27.0,15.0,2
28,2,3.0,15.0,2
29,2,33.0,15.0,2
30,1,36.0,15.0,2
31,2,6.0,15.0,2
32,1,66.0,159.0,2
33,1,66.0,162.0,2
34,1,15.0,171.0,2
35,1,105.0,18.0,2
36,1,3.0,18.0,2
37,1,30.0,18.0,2
38,1,39.0,18.0,2
39,1,51.0,18.0,2
40,1,6.0,18.0,2
41,1,9.0,18.0,2
42,1,96.0,18.0,2
43,1,105.0,21.0,2
44,4,3.0,21.0,2
45,2,39.0,21.0,2
46,2,54.0,21.0,2
47,6,6.0,21.0,2
48,2,72.0,21.0,2
49,1,75.0,21.0,2
50,1,87.0,21.0,2
51,1,18.0,213.0,2
52,1,99.0,225.0,2
53,1,168.0,231.0,2
54,5,3.0,24.0,2
55,5,6.0,24.0,2
56,1,84.0,24.0,2
57,1,99.0,24.0,2
58,1,21.0,249.0,2
59,1,42.0,258.0,2
60,1,102.0,27.0,2
61,1,69.0,27.0,2
62,1,81.0,27.0,2
63,6,12.0,3.0,2
64,14,15.0,3.0,2
65,7,18.0,3.0,2
66,2,21.0,3.0,2
67,1,24.0,3.0,2
68,1,27.0,3.0,2
69,37,3.0,3.0,2
70,1,54.0,3.0,2
71,77,6.0,3.0,2
72,60,9.0,3.0,2
73,1,96.0,3.0,2
74,1,99.0,3.0,2
75,1,12.0,30.0,2
76,1,222.0,30.0,2
77,1,6.0,30.0,2
78,2,12.0,33.0,2
79,1,171.0,33.0,2
80,3,6.0,33.0,2
81,1,108.0,36.0,2
82,1,12.0,36.0,2
83,1,6.0,36.0,2
84,3,9.0,36.0,2
85,1,165.0,366.0,2
86,1,330.0,366.0,2
87,1,477.0,369.0,2
88,1,33.0,387.0,2
89,2,12.0,39.0,2
90,1,6.0,39.0,2
91,1,153.0,42.0,2
92,1,21.0,42.0,2
93,5,3.0,42.0,2
94,1,6.0,42.0,2
95,1,9.0,42.0,2
96,1,12.0,45.0,2
97,3,3.0,45.0,2
98,2,6.0,45.0,2
99,1,165.0,48.0,2
100,1,204.0,48.0,2
101,2,21.0,54.0,2
102,1,15.0,57.0,2
103,1,18.0,57.0,2
104,1,72.0,57.0,2
105,1,12.0,6.0,2
106,19,15.0,6.0,2
107,1,153.0,6.0,2
108,10,18.0,6.0,2
109,1,21.0,6.0,2
110,7,24.0,6.0,2
111,3,27.0,6.0,2
112,12,3.0,6.0,2
113,1,33.0,6.0,2
114,1,48.0,6.0,2
115,8,6.0,6.0,2
116,1,84.0,6.0,2
117,21,9.0,6.0,2
118,1,21.0,60.0,2
119,1,9.0,60.0,2
120,1,96.0,60.0,2
121,2,18.0,63.0,2
122,1,30.0,63.0,2
123,1,6.0,63.0,2
124,1,3.0,66.0,2
125,1,18.0,69.0,2
126,1,72.0,69.0,2
127,1,66.0,72.0,2
128,1,69.0,78.0,2
129,1,12.0,81.0,2
130,1,69.0,81.0,2
131,1,3.0,84.0,2
132,2,36.0,87.0,2
133,1,6.0,87.0,2
134,1,66.0,87.0,2
135,2,9.0,87.0,2
136,3,12.0,9.0,2
137,4,15.0,9.0,2
138,1,18.0,9.0,2
139,2,21.0,9.0,2
140,4,24.0,9.0,2
141,1,27.0,9.0,2
142,17,3.0,9.0,2
143,3,30.0,9.0,2
144,4,33.0,9.0,2
145,3,6.0,9.0,2
146,1,66.0,9.0,2
147,5,9.0,9.0,2
148,1,126.0,93.0,2
149,1,261.0,93.0,2
150,1,258.0,99.0,2
