group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,0,0.0,16,1,3.0,0,3,3,3,3.0
1,0,0.0,95,0,0.0,0,3,3,3,66.0
2,0,0.0,16,1,879.0,0,3,3,3,162.0
3,0,63.0,39,0,0.0,0,3,3,3,108.0
3,0,9.0,56,33,0.0,0,3,3,3,6.0
3,0,15.0,82,1,0.0,0,3,3,3,24.0
3,0,39.0,22,1,0.0,0,3,3,3,24.0
4,0,9.0,56,5,0.0,0,3,3,3,6.0
5,0,9.0,52,7,0.0,0,3,3,3,15.0
5,1,0.0,115,0,0.0,0,3,3,3,24.0
6,9,0.0,79,0,0.0,0,3,3,3,3.0
6,1,0.0,77,1,3.0,0,3,3,3,3.0
6,0,0.0,13,0,3.0,0,3,3,3,3.0
6,4,0.0,60,0,3.0,0,3,3,3,3.0
6,3,0.0,66,0,3.0,0,3,3,3,3.0
6,10,0.0,91,0,3.0,0,3,3,3,3.0
6,11,0.0,114,1,6.0,0,3,3,3,3.0
6,6,0.0,114,0,0.0,0,3,3,3,3.0
6,12,0.0,43,0,3.0,0,3,3,3,3.0
6,8,0.0,13,4,3.0,0,3,3,3,3.0
7,0,6.0,57,31,0.0,0,3,3,3,9.0
7,0,15.0,80,8,0.0,0,3,3,3,15.0
8,0,0.0,2,0,99.0,0,3,3,3,33.0
9,0,0.0,37,0,15.0,0,3,3,3,39.0
10,0,0.0,35,0,0.0,0,3,3,3,42.0
11,0,9.0,56,15,0.0,0,3,3,3,6.0
11,0,24.0,108,0,0.0,0,3,3,3,27.0
11,0,15.0,86,2,0.0,0,3,3,3,9.0
12,0,9.0,56,16,0.0,0,3,3,3,6.0
12,0,30.0,5,0,0.0,0,3,3,3,24.0
12,0,15.0,80,1,0.0,0,3,3,3,15.0
13,3,0.0,109,3,0.0,0,3,3,3,3.0
13,2,0.0,6,13,0.0,0,3,3,3,3.0
13,0,0.0,62,0,3.0,0,3,3,3,6.0
13,4,0.0,15,0,3.0,0,3,3,3,6.0
13,1,0.0,22,0,0.0,0,3,3,3,6.0
14,0,3.0,109,8,0.0,0,3,3,3,3.0
14,0,0.0,33,0,0.0,0,3,3,3,3.0
15,0,0.0,74,0,69.0,0,3,3,3,6.0
15,0,6.0,97,0,0.0,0,3,3,3,102.0
16,1,0.0,16,0,0.0,0,3,3,3,1044.0
17,0,0.0,49,0,6.0,0,3,3,3,12.0
18,0,0.0,21,1,6.0,0,3,3,3,3.0
19,0,0.0,75,0,6.0,0,3,3,3,6.0
19,1,0.0,31,0,6.0,0,3,3,3,6.0
20,1,0.0,117,0,6.0,0,3,3,3,6.0
20,2,0.0,48,0,6.0,0,3,3,3,6.0
20,3,0.0,17,0,6.0,0,3,3,3,6.0
20,0,0.0,67,0,6.0,0,3,3,3,6.0
21,0,0.0,64,0,6.0,0,3,3,3,9.0
21,1,0.0,94,0,6.0,0,3,3,3,9.0
22,1,9.0,56,36,0.0,0,3,3,3,6.0
22,1,15.0,86,1,0.0,0,3,3,3,9.0
22,0,0.0,42,0,0.0,0,3,3,3,24.0
23,0,15.0,86,6,0.0,0,3,3,3,9.0
23,0,9.0,56,0,0.0,0,3,3,3,6.0
23,0,24.0,110,1,0.0,0,3,3,3,33.0
24,0,6.0,104,1,0.0,0,3,3,3,6.0
24,0,3.0,69,1,0.0,0,3,3,3,3.0
25,0,0.0,16,1,6.0,0,3,3,3,9.0
27,0,9.0,57,32,0.0,0,3,3,3,9.0
27,0,18.0,80,3,0.0,0,3,3,3,15.0
28,0,6.0,52,10,0.0,0,3,3,3,15.0
28,0,21.0,105,0,0.0,0,3,3,3,18.0
29,0,24.0,107,1,0.0,0,3,3,3,24.0
29,0,9.0,52,4,0.0,0,3,3,3,15.0
30,0,0.0,109,9,0.0,0,3,3,3,3.0
32,0,6.0,99,0,0.0,0,3,3,3,3.0
32,0,3.0,69,0,0.0,0,3,3,3,3.0
34,0,0.0,6,7,0.0,0,3,3,3,3.0
35,0,0.0,101,0,549.0,0,3,3,3,75.0
36,0,0.0,84,0,0.0,0,3,3,3,6.0
37,0,0.0,73,0,21.0,0,3,3,3,90.0
39,0,9.0,56,9,0.0,0,3,3,3,6.0
39,0,15.0,87,0,0.0,0,3,3,3,93.0
40,0,0.0,66,0,6.0,0,3,3,3,3.0
40,1,0.0,91,0,6.0,0,3,3,3,3.0
41,0,0.0,6,5,0.0,0,3,3,3,3.0
42,0,0.0,2,0,33.0,0,3,3,3,66.0
43,0,0.0,77,1,6.0,0,3,3,3,9.0
44,0,0.0,73,0,0.0,0,3,3,3,21.0
45,0,12.0,86,0,0.0,0,3,3,3,9.0
45,0,42.0,29,0,0.0,0,3,3,3,48.0
45,0,3.0,57,26,0.0,0,3,3,3,9.0
45,0,21.0,106,0,0.0,0,3,3,3,21.0
46,0,21.0,57,14,0.0,0,3,3,3,9.0
46,0,0.0,89,0,0.0,0,3,3,3,15.0
46,0,15.0,112,0,0.0,0,3,3,3,6.0
47,1,0.0,101,0,0.0,0,3,3,3,3.0
47,0,0.0,43,0,6.0,0,3,3,3,3.0
48,0,0.0,117,0,12.0,0,3,3,3,12.0
49,0,0.0,31,0,12.0,0,3,3,3,18.0
50,0,0.0,67,0,12.0,0,3,3,3,9.0
51,0,0.0,55,0,24.0,0,3,3,3,12.0
51,2,0.0,95,0,93.0,0,3,3,3,12.0
51,1,0.0,95,0,75.0,0,3,3,3,12.0
52,6,9.0,56,35,0.0,0,3,3,3,6.0
52,9,9.0,56,27,0.0,0,3,3,3,6.0
52,8,9.0,56,29,0.0,0,3,3,3,6.0
52,1,0.0,98,0,0.0,0,3,3,3,15.0
52,3,0.0,82,4,0.0,0,3,3,3,15.0
52,4,9.0,56,26,0.0,0,3,3,3,6.0
52,2,9.0,56,31,0.0,0,3,3,3,6.0
52,0,9.0,56,30,0.0,0,3,3,3,6.0
52,5,9.0,56,32,0.0,0,3,3,3,6.0
52,10,9.0,56,34,0.0,0,3,3,3,6.0
52,7,9.0,56,28,0.0,0,3,3,3,6.0
52,11,9.0,56,25,0.0,0,3,3,3,6.0
53,0,0.0,46,0,18.0,0,3,3,3,18.0
53,2,9.0,57,30,0.0,0,3,3,3,9.0
53,1,9.0,57,33,0.0,0,3,3,3,9.0
54,15,0.0,79,2,3.0,0,3,3,3,3.0
54,2,0.0,114,1,3.0,0,3,3,3,3.0
54,0,0.0,57,34,0.0,0,3,3,3,3.0
54,16,0.0,1,0,15.0,0,3,3,3,3.0
54,14,0.0,114,0,3.0,0,3,3,3,3.0
54,10,0.0,51,2,9.0,0,3,3,3,3.0
54,9,0.0,86,4,3.0,0,3,3,3,3.0
54,8,0.0,51,1,0.0,0,3,3,3,3.0
54,12,0.0,82,0,12.0,0,3,3,3,3.0
54,13,0.0,56,6,3.0,0,3,3,3,3.0
54,7,0.0,51,0,9.0,0,3,3,3,3.0
54,1,0.0,114,3,3.0,0,3,3,3,3.0
55,0,0.0,74,0,3.0,0,3,3,3,45.0
56,21,0.0,52,3,0.0,0,3,3,3,6.0
56,18,0.0,54,3,0.0,0,3,3,3,3.0
56,23,0.0,44,0,3.0,0,3,3,3,6.0
56,13,0.0,52,1,0.0,0,3,3,3,6.0
56,12,0.0,80,4,0.0,0,3,3,3,6.0
56,10,0.0,80,0,0.0,0,3,3,3,6.0
56,6,0.0,44,0,15.0,0,3,3,3,6.0
56,14,0.0,110,0,18.0,0,3,3,3,6.0
56,17,0.0,2,0,150.0,0,3,3,3,6.0
56,22,0.0,9,0,24.0,0,3,3,3,6.0
56,20,0.0,73,0,153.0,0,3,3,3,6.0
56,11,0.0,82,3,9.0,0,3,3,3,6.0
57,12,0.0,55,0,12.0,0,3,3,3,9.0
57,4,0.0,77,0,0.0,0,3,3,3,9.0
57,2,0.0,42,0,48.0,0,3,3,3,9.0
57,22,0.0,35,0,57.0,0,3,3,3,9.0
57,34,0.0,22,0,6.0,0,3,3,3,9.0
57,5,0.0,10,0,24.0,0,3,3,3,9.0
57,25,0.0,1,0,0.0,0,3,3,3,9.0
57,10,0.0,110,2,15.0,0,3,3,3,9.0
57,28,0.0,80,7,0.0,0,3,3,3,9.0
57,0,0.0,53,0,0.0,0,3,3,3,9.0
57,6,0.0,5,1,9.0,0,3,3,3,9.0
57,23,0.0,81,5,0.0,0,3,3,3,9.0
57,8,0.0,115,0,42.0,0,3,3,3,9.0
57,21,0.0,81,0,0.0,0,3,3,3,9.0
57,9,0.0,81,2,0.0,0,3,3,3,9.0
57,1,0.0,81,4,0.0,0,3,3,3,9.0
57,14,0.0,54,11,0.0,0,3,3,3,3.0
57,11,0.0,37,0,72.0,0,3,3,3,9.0
57,7,0.0,105,1,0.0,0,3,3,3,9.0
57,3,0.0,101,0,666.0,0,3,3,3,9.0
57,29,0.0,8,0,15.0,0,3,3,3,9.0
58,0,0.0,6,14,0.0,0,3,3,3,3.0
59,0,0.0,16,1,0.0,0,3,3,3,3.0
60,0,0.0,74,0,48.0,0,3,3,3,6.0
61,0,6.0,52,8,0.0,0,3,3,3,15.0
61,0,21.0,111,0,0.0,0,3,3,3,42.0
62,0,0.0,95,0,114.0,0,3,3,3,9.0
63,0,0.0,15,0,9.0,0,3,3,3,99.0
64,0,0.0,94,0,15.0,0,3,3,3,15.0
65,0,30.0,12,0,0.0,0,3,3,3,54.0
65,0,15.0,80,2,0.0,0,3,3,3,15.0
65,0,6.0,57,27,0.0,0,3,3,3,9.0
66,0,0.0,91,0,9.0,0,3,3,3,9.0
67,0,0.0,16,1,15.0,0,3,3,3,21.0
68,0,0.0,41,0,0.0,0,3,3,3,6.0
68,0,6.0,6,2,0.0,0,3,3,3,3.0
70,0,0.0,88,0,0.0,0,3,3,3,3.0
70,0,3.0,13,3,0.0,0,3,3,3,6.0
72,0,0.0,13,2,0.0,0,3,3,3,6.0
73,0,0.0,16,1,714.0,0,3,3,3,165.0
74,0,27.0,4,0,0.0,0,3,3,3,15.0
74,0,3.0,57,18,0.0,0,3,3,3,9.0
74,0,12.0,80,5,0.0,0,3,3,3,15.0
74,0,42.0,27,0,0.0,0,3,3,3,33.0
75,0,3.0,69,5,0.0,0,3,3,3,3.0
75,0,6.0,100,0,0.0,0,3,3,3,6.0
76,0,21.0,113,0,0.0,0,3,3,3,84.0
76,0,6.0,52,5,0.0,0,3,3,3,15.0
77,0,9.0,109,4,0.0,0,3,3,3,3.0
77,1,0.0,74,0,54.0,0,3,3,3,15.0
77,0,0.0,36,0,0.0,0,3,3,3,9.0
78,0,750.0,90,0,0.0,0,3,3,3,165.0
78,0,543.0,86,5,0.0,0,3,3,3,9.0
78,0,579.0,56,8,0.0,0,3,3,3,6.0
78,0,666.0,65,0,0.0,0,3,3,3,84.0
78,0,552.0,56,7,0.0,0,3,3,3,6.0
78,0,609.0,23,0,0.0,0,3,3,3,57.0
78,0,585.0,82,2,0.0,0,3,3,3,24.0
78,0,0.0,103,0,3.0,0,3,3,3,543.0
79,0,0.0,82,0,0.0,0,3,3,3,12.0
79,2,0.0,55,0,0.0,0,3,3,3,12.0
79,1,9.0,54,4,0.0,0,3,3,3,3.0
80,4,0.0,8,0,0.0,0,3,3,3,15.0
80,2,6.0,57,17,0.0,0,3,3,3,9.0
80,8,9.0,56,2,0.0,0,3,3,3,6.0
80,7,0.0,35,0,42.0,0,3,3,3,15.0
80,0,0.0,110,2,0.0,0,3,3,3,15.0
80,6,9.0,56,3,0.0,0,3,3,3,6.0
80,5,9.0,56,1,0.0,0,3,3,3,6.0
80,1,9.0,56,4,0.0,0,3,3,3,6.0
80,3,6.0,57,15,0.0,0,3,3,3,9.0
81,0,0.0,110,0,0.0,0,3,3,3,18.0
