n_group,n_partitions,num_div_y,num_div_x,device_group
0,1,3.0,102.0,3
1,1,66.0,102.0,3
2,1,162.0,105.0,3
3,1,171.0,108.0,3
4,1,15.0,12.0,3
5,2,24.0,12.0,3
6,15,3.0,12.0,3
7,1,30.0,12.0,3
8,1,33.0,12.0,3
9,1,39.0,12.0,3
10,1,42.0,12.0,3
11,1,51.0,12.0,3
12,1,54.0,12.0,3
13,5,6.0,12.0,3
14,1,9.0,12.0,3
15,1,108.0,120.0,3
16,2,1044.0,1368.0,3
17,1,12.0,138.0,3
18,1,3.0,138.0,3
19,2,6.0,138.0,3
20,4,6.0,141.0,3
21,2,9.0,141.0,3
22,2,24.0,15.0,3
23,1,57.0,15.0,3
24,1,12.0,171.0,3
25,1,9.0,174.0,3
26,1,3.0,18.0,3
27,1,33.0,18.0,3
28,1,39.0,18.0,3
29,1,48.0,18.0,3
30,1,6.0,18.0,3
31,1,60.0,1890.0,3
32,1,9.0,204.0,3
33,1,3.0,21.0,3
34,1,6.0,21.0,3
35,1,75.0,21.0,3
36,1,9.0,21.0,3
37,1,90.0,21.0,3
38,1,102.0,24.0,3
39,1,108.0,24.0,3
40,2,3.0,24.0,3
41,1,6.0,24.0,3
42,1,66.0,24.0,3
43,1,9.0,24.0,3
44,1,21.0,243.0,3
45,1,90.0,246.0,3
46,1,45.0,252.0,3
47,2,3.0,27.0,3
48,1,12.0,279.0,3
49,1,18.0,279.0,3
50,1,9.0,279.0,3
51,3,12.0,3.0,3
52,12,15.0,3.0,3
53,3,18.0,3.0,3
54,17,3.0,3.0,3
55,1,45.0,3.0,3
56,38,6.0,3.0,3
57,35,9.0,3.0,3
58,1,6.0,30.0,3
59,1,3.0,33.0,3
60,1,6.0,33.0,3
61,1,63.0,33.0,3
62,1,9.0,33.0,3
63,1,99.0,33.0,3
64,1,15.0,348.0,3
65,1,84.0,36.0,3
66,1,9.0,36.0,3
67,1,21.0,381.0,3
68,1,12.0,39.0,3
69,6,3.0,42.0,3
70,1,12.0,45.0,3
71,1,3.0,45.0,3
72,1,9.0,45.0,3
73,1,165.0,483.0,3
74,1,75.0,51.0,3
75,1,12.0,543.0,3
76,1,105.0,57.0,3
77,2,15.0,57.0,3
78,1,915.0,57.0,3
79,3,12.0,6.0,3
80,9,15.0,6.0,3
81,6,18.0,6.0,3
82,5,24.0,6.0,3
83,6,3.0,6.0,3
84,1,6.0,6.0,3
85,1,87.0,6.0,3
86,9,9.0,6.0,3
87,1,93.0,6.0,3
88,1,3.0,63.0,3
89,1,15.0,66.0,3
90,1,165.0,69.0,3
91,1,18.0,69.0,3
92,15,3.0,69.0,3
93,4,6.0,69.0,3
94,1,30.0,696.0,3
95,1,141.0,72.0,3
96,5,3.0,72.0,3
97,1,255.0,81.0,3
98,1,24.0,84.0,3
99,1,3.0,84.0,3
100,1,6.0,84.0,3
101,1,678.0,843.0,3
102,1,33.0,87.0,3
103,1,546.0,87.0,3
104,2,6.0,87.0,3
105,3,18.0,9.0,3
106,1,21.0,9.0,3
107,2,24.0,9.0,3
108,1,27.0,9.0,3
109,12,3.0,9.0,3
110,3,33.0,9.0,3
111,1,42.0,9.0,3
112,1,6.0,9.0,3
113,1,84.0,9.0,3
114,4,9.0,9.0,3
115,1,60.0,90.0,3
116,1,3.0,93.0,3
117,1,24.0,990.0,3
