group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,0,0.0,42,0,0.0,1,7,7,7,6.0
2,0,0.0,46,0,369.0,1,7,7,7,114.0
2,1,0.0,31,0,114.0,1,7,7,7,114.0
4,0,0.0,31,0,0.0,1,7,7,7,114.0
5,0,0.0,16,0,0.0,1,7,7,7,114.0
6,0,0.0,32,0,18.0,1,7,7,7,12.0
7,0,0.0,32,0,30.0,1,7,7,7,12.0
9,0,0.0,21,0,0.0,1,7,7,7,141.0
10,0,0.0,8,0,993.0,1,7,7,7,141.0
11,0,0.0,47,0,0.0,1,7,7,7,15.0
12,0,0.0,28,0,0.0,1,7,7,7,168.0
13,0,0.0,45,0,282.0,1,7,7,7,168.0
15,0,0.0,32,0,0.0,1,7,7,7,18.0
16,0,0.0,34,0,165.0,1,7,7,7,198.0
17,0,0.0,30,0,0.0,1,7,7,7,201.0
18,0,0.0,47,0,15.0,1,7,7,7,24.0
19,21,0.0,35,0,0.0,1,7,7,7,27.0
19,24,0.0,13,0,114.0,1,7,7,7,27.0
19,8,0.0,38,0,0.0,1,7,7,7,27.0
19,27,0.0,40,7,0.0,1,7,7,7,27.0
19,33,0.0,1,0,57.0,1,7,7,7,27.0
19,0,0.0,10,0,84.0,1,7,7,7,27.0
19,20,0.0,38,1,0.0,1,7,7,7,27.0
19,28,0.0,40,8,0.0,1,7,7,7,27.0
19,3,0.0,51,0,30.0,1,7,7,7,27.0
19,6,0.0,12,0,114.0,1,7,7,7,27.0
19,4,0.0,40,4,0.0,1,7,7,7,27.0
19,25,0.0,2,1,57.0,1,7,7,7,27.0
19,32,0.0,40,0,0.0,1,7,7,7,27.0
19,31,0.0,4,0,57.0,1,7,7,7,27.0
19,2,0.0,16,0,144.0,1,7,7,7,27.0
19,15,0.0,36,0,0.0,1,7,7,7,27.0
19,30,0.0,3,0,57.0,1,7,7,7,27.0
19,23,0.0,8,0,1275.0,1,7,7,7,27.0
19,10,0.0,45,0,564.0,1,7,7,7,27.0
19,1,0.0,28,0,255.0,1,7,7,7,27.0
19,26,0.0,37,0,0.0,1,7,7,7,27.0
19,7,0.0,39,0,0.0,1,7,7,7,27.0
19,19,0.0,49,1,27.0,1,7,7,7,27.0
19,9,0.0,40,5,0.0,1,7,7,7,27.0
19,12,0.0,9,0,84.0,1,7,7,7,27.0
19,11,0.0,54,0,36.0,1,7,7,7,27.0
19,22,0.0,49,0,27.0,1,7,7,7,27.0
19,13,0.0,31,0,312.0,1,7,7,7,27.0
19,18,0.0,40,3,0.0,1,7,7,7,27.0
19,14,0.0,39,1,0.0,1,7,7,7,27.0
19,17,0.0,17,0,144.0,1,7,7,7,27.0
19,29,0.0,41,1,0.0,1,7,7,7,27.0
19,16,0.0,35,1,0.0,1,7,7,7,27.0
19,5,0.0,30,0,315.0,1,7,7,7,27.0
20,1,0.0,49,0,0.0,1,7,7,7,27.0
20,0,0.0,45,0,537.0,1,7,7,7,27.0
20,2,0.0,48,0,0.0,1,7,7,7,27.0
20,3,0.0,17,0,117.0,1,7,7,7,27.0
20,4,0.0,49,1,0.0,1,7,7,7,27.0
21,0,0.0,45,0,0.0,1,7,7,7,282.0
22,0,0.0,18,0,0.0,1,7,7,7,3.0
23,3,0.0,44,0,0.0,1,7,7,7,3.0
23,4,0.0,11,0,9.0,1,7,7,7,3.0
23,2,0.0,18,0,6.0,1,7,7,7,3.0
23,5,0.0,43,1,0.0,1,7,7,7,3.0
23,1,0.0,52,0,3.0,1,7,7,7,3.0
23,6,0.0,7,0,6.0,1,7,7,7,3.0
23,0,0.0,44,1,0.0,1,7,7,7,3.0
23,7,0.0,6,0,6.0,1,7,7,7,3.0
23,8,0.0,53,0,3.0,1,7,7,7,3.0
24,0,0.0,18,0,3.0,1,7,7,7,3.0
24,1,0.0,32,0,42.0,1,7,7,7,3.0
25,1,0.0,53,0,0.0,1,7,7,7,3.0
25,0,0.0,52,0,0.0,1,7,7,7,3.0
26,6,0.0,40,9,0.0,1,7,7,7,30.0
26,9,0.0,41,0,0.0,1,7,7,7,30.0
26,3,0.0,2,0,57.0,1,7,7,7,30.0
26,10,0.0,40,6,0.0,1,7,7,7,30.0
26,11,0.0,38,2,0.0,1,7,7,7,30.0
26,1,0.0,40,1,0.0,1,7,7,7,30.0
26,8,0.0,41,2,0.0,1,7,7,7,30.0
26,13,0.0,40,10,0.0,1,7,7,7,30.0
26,2,0.0,5,0,57.0,1,7,7,7,30.0
26,4,0.0,40,2,0.0,1,7,7,7,30.0
26,12,0.0,0,0,54.0,1,7,7,7,30.0
26,0,0.0,48,0,27.0,1,7,7,7,30.0
26,5,0.0,34,0,477.0,1,7,7,7,30.0
27,4,0.0,10,0,54.0,1,7,7,7,30.0
27,3,0.0,13,0,84.0,1,7,7,7,30.0
27,2,0.0,16,0,114.0,1,7,7,7,30.0
27,0,0.0,51,0,0.0,1,7,7,7,30.0
27,1,0.0,28,0,225.0,1,7,7,7,30.0
28,0,144.0,34,0,0.0,1,7,7,7,165.0
28,0,0.0,33,0,381.0,1,7,7,7,144.0
29,0,0.0,54,0,0.0,1,7,7,7,36.0
30,0,0.0,46,0,0.0,1,7,7,7,369.0
31,0,0.0,8,0,624.0,1,7,7,7,369.0
32,0,0.0,17,0,0.0,1,7,7,7,48.0
35,0,0.0,14,0,93.0,1,7,7,7,54.0
35,1,0.0,21,0,198.0,1,7,7,7,54.0
36,0,0.0,0,0,0.0,1,7,7,7,54.0
37,0,0.0,10,0,0.0,1,7,7,7,54.0
38,0,0.0,30,0,201.0,1,7,7,7,57.0
38,2,0.0,34,0,363.0,1,7,7,7,57.0
38,1,0.0,12,0,0.0,1,7,7,7,57.0
39,0,0.0,50,0,0.0,1,7,7,7,57.0
39,1,0.0,46,0,540.0,1,7,7,7,57.0
40,4,0.0,3,0,0.0,1,7,7,7,57.0
40,0,0.0,8,0,1218.0,1,7,7,7,57.0
40,10,0.0,5,0,0.0,1,7,7,7,57.0
40,3,0.0,1,0,0.0,1,7,7,7,57.0
40,7,0.0,30,0,258.0,1,7,7,7,57.0
40,5,0.0,2,1,0.0,1,7,7,7,57.0
40,9,0.0,34,0,420.0,1,7,7,7,57.0
40,6,0.0,2,0,0.0,1,7,7,7,57.0
40,8,0.0,12,0,57.0,1,7,7,7,57.0
40,2,0.0,4,0,0.0,1,7,7,7,57.0
41,2,0.0,28,0,168.0,1,7,7,7,57.0
41,0,0.0,46,0,483.0,1,7,7,7,57.0
41,1,0.0,21,0,141.0,1,7,7,7,57.0
43,1,0.0,15,0,9.0,1,7,7,7,6.0
43,0,0.0,29,0,0.0,1,7,7,7,6.0
44,0,0.0,6,0,0.0,1,7,7,7,6.0
44,1,0.0,7,0,0.0,1,7,7,7,6.0
45,0,240.0,33,0,0.0,1,7,7,7,381.0
46,0,0.0,8,0,0.0,1,7,7,7,624.0
47,0,0.0,17,0,48.0,1,7,7,7,69.0
48,0,0.0,8,0,1134.0,1,7,7,7,84.0
49,0,0.0,31,0,228.0,1,7,7,7,84.0
49,1,0.0,9,0,0.0,1,7,7,7,84.0
50,0,0.0,13,0,0.0,1,7,7,7,84.0
51,0,0.0,45,0,450.0,1,7,7,7,87.0
52,0,0.0,15,0,0.0,1,7,7,7,9.0
53,0,0.0,11,0,0.0,1,7,7,7,9.0
54,0,0.0,14,0,0.0,1,7,7,7,93.0
