n_group,n_partitions,num_div_y,num_div_x,device_group
0,32,10.0,10.0,3
1,1,160.0,10.0,3
2,38,20.0,10.0,3
3,1,290.0,10.0,3
4,44,30.0,10.0,3
5,5,40.0,10.0,3
6,10,50.0,10.0,3
7,4,60.0,10.0,3
8,1,40.0,100.0,3
9,1,20.0,110.0,3
10,1,30.0,110.0,3
11,1,20.0,120.0,3
12,1,60.0,120.0,3
13,1,30.0,130.0,3
14,1,40.0,130.0,3
15,1,20.0,140.0,3
16,1,40.0,140.0,3
17,1,40.0,150.0,3
18,1,430.0,150.0,3
19,1,50.0,150.0,3
20,1,40.0,190.0,3
21,1,420.0,190.0,3
22,8,10.0,20.0,3
23,1,130.0,20.0,3
24,1,160.0,20.0,3
25,2,20.0,20.0,3
26,1,290.0,20.0,3
27,8,30.0,20.0,3
28,1,310.0,20.0,3
29,2,40.0,20.0,3
30,14,50.0,20.0,3
31,5,60.0,20.0,3
32,1,70.0,20.0,3
33,3,80.0,20.0,3
34,2,7360.0,2110.0,3
35,1,60.0,220.0,3
36,1,90.0,230.0,3
37,1,230.0,260.0,3
38,1,140.0,290.0,3
39,1,220.0,290.0,3
40,1,310.0,290.0,3
41,10,10.0,30.0,3
42,1,110.0,30.0,3
43,1,120.0,30.0,3
44,1,130.0,30.0,3
45,1,20.0,30.0,3
46,7,30.0,30.0,3
47,3,50.0,30.0,3
48,2,70.0,30.0,3
49,2,80.0,30.0,3
50,1,40.0,320.0,3
51,1,150.0,330.0,3
52,1,160.0,330.0,3
53,1,820.0,340.0,3
54,1,290.0,350.0,3
55,1,300.0,370.0,3
56,29,10.0,40.0,3
57,2,100.0,40.0,3
58,2,110.0,40.0,3
59,3,120.0,40.0,3
60,2,130.0,40.0,3
61,1,140.0,40.0,3
62,4,20.0,40.0,3
63,1,30.0,40.0,3
64,1,70.0,40.0,3
65,1,80.0,40.0,3
66,1,540.0,460.0,3
67,1,300.0,470.0,3
68,1,530.0,470.0,3
69,1,100.0,50.0,3
70,1,20.0,50.0,3
71,1,80.0,50.0,3
72,2,220.0,590.0,3
73,2,10.0,60.0,3
74,2,20.0,60.0,3
75,1,270.0,60.0,3
76,1,280.0,60.0,3
77,1,70.0,630.0,3
78,1,150.0,650.0,3
79,1,10.0,70.0,3
80,3,20.0,70.0,3
81,1,210.0,70.0,3
82,1,270.0,70.0,3
83,1,360.0,70.0,3
84,1,10.0,80.0,3
85,5,20.0,80.0,3
86,1,200.0,80.0,3
87,2,210.0,80.0,3
88,1,40.0,80.0,3
89,1,740.0,890.0,3
90,1,10.0,90.0,3
91,1,320.0,90.0,3
92,1,430.0,900.0,3
93,1,570.0,960.0,3
