n_group,n_partitions,num_div_y,num_div_x
264,1,24.0,96.0
265,1,18.0,129.0
266,1,99.0,24.0
267,1,30.0,81.0
268,1,102.0,24.0
269,1,9.0,279.0
270,1,15.0,168.0
271,2,15.0,171.0
272,1,66.0,39.0
273,2,108.0,24.0
274,1,96.0,27.0
275,1,111.0,24.0
276,1,102.0,27.0
277,1,33.0,87.0
278,1,21.0,141.0
279,1,84.0,36.0
280,1,18.0,168.0
281,1,27.0,114.0
282,2,36.0,87.0
283,1,99.0,33.0
284,1,12.0,279.0
285,1,57.0,60.0
286,1,18.0,198.0
287,1,18.0,201.0
288,1,42.0,87.0
289,1,111.0,33.0
290,1,21.0,177.0
291,1,96.0,39.0
292,1,75.0,51.0
293,1,18.0,213.0
294,1,108.0,36.0
295,2,45.0,87.0
296,1,39.0,105.0
297,1,72.0,57.0
298,1,24.0,177.0
299,1,18.0,237.0
300,1,75.0,57.0
301,1,72.0,60.0
302,1,48.0,90.0
303,1,51.0,87.0
304,1,72.0,63.0
305,1,66.0,72.0
306,2,84.0,57.0
307,1,72.0,69.0
308,1,18.0,279.0
309,1,21.0,243.0
310,1,78.0,66.0
311,1,48.0,108.0
312,1,15.0,348.0
313,1,21.0,249.0
314,3,69.0,78.0
315,1,60.0,90.0
316,1,18.0,303.0
317,2,63.0,87.0
318,1,66.0,84.0
319,1,69.0,81.0
320,1,171.0,33.0
321,2,66.0,87.0
322,1,96.0,60.0
323,3,69.0,84.0
324,1,105.0,57.0
325,1,153.0,42.0
326,1,102.0,63.0
327,1,12.0,543.0
328,1,222.0,30.0
329,3,66.0,102.0
330,1,72.0,96.0
331,1,129.0,54.0
332,1,123.0,57.0
333,1,90.0,81.0
334,1,45.0,165.0
335,1,42.0,177.0
336,1,66.0,114.0
337,1,57.0,132.0
338,1,45.0,168.0
339,1,48.0,159.0
340,1,78.0,99.0
341,1,39.0,198.0
342,1,165.0,48.0
343,1,21.0,381.0
344,3,48.0,168.0
345,1,51.0,159.0
346,1,42.0,198.0
347,1,75.0,111.0
348,1,72.0,117.0
349,1,48.0,177.0
350,1,141.0,66.0
351,1,78.0,120.0
352,1,204.0,48.0
353,2,84.0,117.0
354,1,27.0,369.0
355,1,141.0,72.0
356,1,36.0,282.0
357,1,138.0,75.0
358,2,66.0,159.0
359,1,198.0,54.0
360,1,66.0,162.0
361,1,1794.0,6.0
362,1,42.0,258.0
363,1,93.0,120.0
364,1,87.0,129.0
365,1,45.0,252.0
366,1,165.0,69.0
367,1,30.0,381.0
368,1,78.0,147.0
369,1,66.0,174.0
370,1,126.0,93.0
371,1,42.0,279.0
372,1,66.0,180.0
373,1,39.0,309.0
374,1,81.0,150.0
375,1,87.0,141.0
376,1,66.0,186.0
377,1,144.0,87.0
378,1,93.0,135.0
379,1,33.0,387.0
380,1,108.0,120.0
381,1,96.0,135.0
382,1,93.0,141.0
383,1,72.0,183.0
384,1,36.0,369.0
385,1,102.0,135.0
386,1,114.0,132.0
387,2,111.0,141.0
388,1,162.0,105.0
389,1,159.0,111.0
390,1,171.0,108.0
391,1,75.0,273.0
392,1,201.0,102.0
393,1,255.0,81.0
394,1,135.0,153.0
395,1,30.0,696.0
396,1,90.0,246.0
397,1,96.0,231.0
398,1,99.0,225.0
399,1,174.0,129.0
400,1,81.0,288.0
401,1,87.0,270.0
402,1,87.0,273.0
403,1,24.0,990.0
404,1,267.0,90.0
405,1,165.0,147.0
406,1,261.0,93.0
407,1,33.0,744.0
408,1,96.0,261.0
409,1,204.0,123.0
410,1,87.0,291.0
411,1,258.0,99.0
412,1,150.0,174.0
413,1,99.0,264.0
414,1,267.0,102.0
415,1,99.0,282.0
416,1,120.0,255.0
417,1,123.0,279.0
418,1,126.0,282.0
419,1,129.0,288.0
420,1,135.0,279.0
421,1,168.0,231.0
422,1,867.0,45.0
423,1,267.0,147.0
424,1,198.0,225.0
425,1,72.0,621.0
426,1,174.0,267.0
427,1,75.0,624.0
428,1,546.0,87.0
429,1,180.0,267.0
430,1,171.0,285.0
431,1,177.0,291.0
432,1,915.0,57.0
433,1,174.0,345.0
434,1,165.0,366.0
435,1,105.0,720.0
436,1,165.0,483.0
437,1,792.0,105.0
438,1,219.0,387.0
439,1,1230.0,90.0
440,1,60.0,1890.0
441,1,330.0,366.0
442,1,132.0,1080.0
443,1,129.0,1143.0
444,1,243.0,663.0
445,1,477.0,369.0
446,1,138.0,1332.0
447,1,2598.0,114.0
448,1,375.0,936.0
449,1,483.0,1059.0
450,1,678.0,843.0
451,1,879.0,801.0
452,1,2544.0,399.0
453,1,1059.0,1035.0
454,1,1062.0,1035.0
455,1,669.0,1785.0
456,3,561.0,2166.0
457,1,564.0,2166.0
458,7,2610.0,525.0
459,1,2610.0,534.0
460,2,1044.0,1368.0
461,1,1044.0,1371.0
