group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,0,0.0,36,0,0.0,0,4,4,4,21.0
1,0,3.0,108,5,0.0,0,4,4,4,3.0
2,0,9.0,101,13,0.0,0,4,4,4,6.0
2,0,24.0,181,4,0.0,0,4,4,4,15.0
2,0,15.0,151,19,0.0,0,4,4,4,9.0
3,0,3.0,97,4,0.0,0,4,4,4,15.0
3,0,18.0,187,2,0.0,0,4,4,4,30.0
5,0,0.0,167,0,204.0,0,4,4,4,18.0
6,0,39.0,42,0,0.0,0,4,4,4,33.0
6,0,6.0,103,30,0.0,0,4,4,4,9.0
6,0,15.0,144,8,0.0,0,4,4,4,24.0
7,0,0.0,50,0,0.0,0,4,4,4,84.0
8,0,9.0,101,0,0.0,0,4,4,4,6.0
9,0,6.0,99,42,0.0,0,4,4,4,3.0
9,0,9.0,151,18,0.0,0,4,4,4,9.0
10,0,0.0,91,0,6.0,0,4,4,4,21.0
11,0,9.0,97,6,0.0,0,4,4,4,15.0
11,1,9.0,97,9,0.0,0,4,4,4,15.0
12,21,0.0,84,0,3.0,0,4,4,4,3.0
12,31,0.0,181,5,0.0,0,4,4,4,3.0
12,20,0.0,172,0,3.0,0,4,4,4,3.0
12,2,0.0,17,3,3.0,0,4,4,4,3.0
12,17,0.0,138,0,3.0,0,4,4,4,3.0
12,5,0.0,84,1,3.0,0,4,4,4,3.0
12,10,0.0,194,2,6.0,0,4,4,4,3.0
12,8,0.0,17,17,3.0,0,4,4,4,3.0
12,12,0.0,27,0,6.0,0,4,4,4,3.0
12,36,0.0,111,0,3.0,0,4,4,4,3.0
12,11,0.0,105,0,3.0,0,4,4,4,3.0
12,16,0.0,116,0,3.0,0,4,4,4,3.0
12,6,0.0,17,4,3.0,0,4,4,4,3.0
12,32,0.0,17,10,3.0,0,4,4,4,3.0
12,9,0.0,134,0,3.0,0,4,4,4,3.0
12,1,0.0,17,8,3.0,0,4,4,4,3.0
12,15,0.0,17,6,3.0,0,4,4,4,3.0
12,7,0.0,17,7,3.0,0,4,4,4,3.0
12,13,0.0,194,1,0.0,0,4,4,4,3.0
12,4,0.0,17,11,3.0,0,4,4,4,3.0
12,14,0.0,45,1,3.0,0,4,4,4,3.0
12,35,0.0,120,1,3.0,0,4,4,4,3.0
12,22,0.0,84,2,3.0,0,4,4,4,3.0
12,0,0.0,35,0,0.0,0,4,4,4,3.0
12,34,0.0,45,2,3.0,0,4,4,4,3.0
13,1,0.0,112,0,111.0,0,4,4,4,33.0
13,3,9.0,103,67,0.0,0,4,4,4,9.0
13,2,9.0,101,62,0.0,0,4,4,4,6.0
13,2,15.0,142,0,0.0,0,4,4,4,18.0
13,0,0.0,179,0,0.0,0,4,4,4,33.0
13,3,18.0,141,11,0.0,0,4,4,4,15.0
14,0,9.0,101,17,0.0,0,4,4,4,6.0
14,0,15.0,143,0,0.0,0,4,4,4,21.0
15,1,9.0,101,4,0.0,0,4,4,4,6.0
15,1,15.0,151,6,0.0,0,4,4,4,9.0
15,2,0.0,46,0,0.0,0,4,4,4,39.0
15,0,0.0,157,0,0.0,0,4,4,4,39.0
15,1,24.0,181,1,0.0,0,4,4,4,15.0
16,1,0.0,139,0,0.0,0,4,4,4,42.0
16,2,0.0,173,0,0.0,0,4,4,4,42.0
16,0,0.0,94,0,63.0,0,4,4,4,42.0
16,3,0.0,61,1,0.0,0,4,4,4,42.0
17,15,0.0,186,6,0.0,0,4,4,4,3.0
17,7,0.0,135,0,3.0,0,4,4,4,6.0
17,6,0.0,132,0,3.0,0,4,4,4,6.0
17,13,0.0,12,44,0.0,0,4,4,4,3.0
17,2,0.0,12,42,0.0,0,4,4,4,3.0
17,11,0.0,117,2,3.0,0,4,4,4,6.0
17,12,0.0,12,41,0.0,0,4,4,4,3.0
17,3,0.0,92,0,3.0,0,4,4,4,6.0
17,17,0.0,117,1,3.0,0,4,4,4,6.0
17,16,0.0,39,1,0.0,0,4,4,4,6.0
17,18,0.0,186,12,0.0,0,4,4,4,3.0
17,8,0.0,158,0,3.0,0,4,4,4,6.0
17,14,0.0,12,39,0.0,0,4,4,4,3.0
17,4,0.0,122,1,3.0,0,4,4,4,6.0
17,10,0.0,122,0,3.0,0,4,4,4,6.0
17,9,0.0,12,40,0.0,0,4,4,4,3.0
17,5,0.0,186,13,0.0,0,4,4,4,3.0
17,0,0.0,99,41,0.0,0,4,4,4,3.0
17,1,0.0,186,11,0.0,0,4,4,4,3.0
18,0,57.0,73,4,0.0,0,4,4,4,6.0
18,1,0.0,18,0,3.0,0,4,4,4,66.0
18,0,48.0,131,0,0.0,0,4,4,4,9.0
18,0,0.0,50,0,102.0,0,4,4,4,48.0
18,0,63.0,12,43,0.0,0,4,4,4,3.0
20,0,6.0,99,49,0.0,0,4,4,4,3.0
20,1,6.0,99,54,0.0,0,4,4,4,3.0
21,0,0.0,95,0,3.0,0,4,4,4,96.0
22,0,3.0,155,0,0.0,0,4,4,4,3.0
23,0,3.0,156,2,0.0,0,4,4,4,6.0
24,0,0.0,35,0,27.0,0,4,4,4,93.0
25,0,6.0,22,0,0.0,0,4,4,4,6.0
25,0,3.0,155,4,0.0,0,4,4,4,3.0
26,0,0.0,167,0,0.0,0,4,4,4,204.0
27,0,39.0,39,2,0.0,0,4,4,4,24.0
27,0,9.0,101,68,0.0,0,4,4,4,6.0
27,0,63.0,80,0,0.0,0,4,4,4,111.0
27,0,15.0,144,1,0.0,0,4,4,4,24.0
28,0,6.0,177,0,0.0,0,4,4,4,3.0
28,0,3.0,125,0,0.0,0,4,4,4,3.0
28,0,9.0,29,0,0.0,0,4,4,4,9.0
29,0,6.0,177,1,0.0,0,4,4,4,3.0
29,0,3.0,125,2,0.0,0,4,4,4,3.0
30,0,42.0,130,0,0.0,0,4,4,4,51.0
30,0,3.0,57,0,0.0,0,4,4,4,3.0
30,0,6.0,70,0,0.0,0,4,4,4,36.0
31,0,0.0,27,0,36.0,0,4,4,4,96.0
32,0,45.0,104,0,0.0,0,4,4,4,48.0
32,0,18.0,20,1,0.0,0,4,4,4,9.0
32,0,93.0,78,0,0.0,0,4,4,4,18.0
32,0,27.0,55,0,0.0,0,4,4,4,18.0
32,0,9.0,151,5,0.0,0,4,4,4,9.0
32,0,6.0,99,6,0.0,0,4,4,4,3.0
33,0,0.0,36,0,141.0,0,4,4,4,87.0
34,0,6.0,169,0,0.0,0,4,4,4,9.0
34,0,3.0,108,1,0.0,0,4,4,4,3.0
35,0,3.0,101,84,0.0,0,4,4,4,6.0
35,0,9.0,141,5,0.0,0,4,4,4,15.0
35,0,57.0,79,0,0.0,0,4,4,4,108.0
35,0,24.0,13,3,0.0,0,4,4,4,33.0
36,0,3.0,97,7,0.0,0,4,4,4,15.0
36,0,18.0,181,0,0.0,0,4,4,4,15.0
36,0,57.0,86,0,0.0,0,4,4,4,87.0
36,0,144.0,137,0,0.0,0,4,4,4,123.0
36,0,33.0,39,0,0.0,0,4,4,4,24.0
37,0,0.0,77,0,120.0,0,4,4,4,78.0
38,0,6.0,99,36,0.0,0,4,4,4,3.0
38,1,9.0,149,0,0.0,0,4,4,4,6.0
38,1,6.0,99,35,0.0,0,4,4,4,3.0
38,0,9.0,149,1,0.0,0,4,4,4,6.0
39,2,15.0,151,8,0.0,0,4,4,4,9.0
39,2,9.0,101,79,0.0,0,4,4,4,6.0
39,1,0.0,85,0,0.0,0,4,4,4,24.0
39,0,9.0,97,16,0.0,0,4,4,4,15.0
40,0,9.0,142,1,0.0,0,4,4,4,18.0
40,0,6.0,99,53,0.0,0,4,4,4,3.0
41,0,0.0,140,1,0.0,0,4,4,4,3.0
42,0,15.0,142,3,0.0,0,4,4,4,18.0
42,0,6.0,103,58,0.0,0,4,4,4,9.0
43,0,0.0,62,0,0.0,0,4,4,4,39.0
44,0,0.0,7,0,0.0,0,4,4,4,42.0
45,1,0.0,154,0,3.0,0,4,4,4,6.0
45,2,0.0,117,0,3.0,0,4,4,4,6.0
45,3,0.0,77,0,87.0,0,4,4,4,6.0
45,0,0.0,12,33,0.0,0,4,4,4,3.0
46,0,0.0,26,0,90.0,0,4,4,4,72.0
47,0,0.0,110,0,0.0,0,4,4,4,45.0
49,0,3.0,108,2,0.0,0,4,4,4,3.0
49,0,6.0,166,0,0.0,0,4,4,4,9.0
50,0,93.0,83,0,0.0,0,4,4,4,57.0
50,0,54.0,190,1,0.0,0,4,4,4,39.0
50,0,39.0,97,10,0.0,0,4,4,4,15.0
50,0,0.0,156,0,0.0,0,4,4,4,6.0
50,0,6.0,151,21,0.0,0,4,4,4,9.0
50,0,15.0,101,19,0.0,0,4,4,4,6.0
52,0,81.0,165,0,0.0,0,4,4,4,78.0
52,0,9.0,181,7,0.0,0,4,4,4,15.0
52,0,159.0,118,0,0.0,0,4,4,4,30.0
52,0,24.0,68,0,0.0,0,4,4,4,18.0
52,0,189.0,170,0,0.0,0,4,4,4,105.0
52,0,42.0,115,0,0.0,0,4,4,4,39.0
52,0,294.0,196,0,0.0,0,4,4,4,375.0
52,0,3.0,101,21,0.0,0,4,4,4,6.0
53,0,0.0,73,1,0.0,0,4,4,4,6.0
53,0,6.0,186,20,0.0,0,4,4,4,3.0
54,1,9.0,192,4,0.0,0,4,4,4,6.0
54,0,6.0,99,52,0.0,0,4,4,4,3.0
54,0,9.0,149,5,0.0,0,4,4,4,6.0
54,1,3.0,101,48,0.0,0,4,4,4,6.0
55,0,9.0,151,26,0.0,0,4,4,4,9.0
55,0,6.0,99,9,0.0,0,4,4,4,3.0
56,0,6.0,99,58,0.0,0,4,4,4,3.0
56,0,9.0,149,3,0.0,0,4,4,4,6.0
56,0,15.0,180,0,0.0,0,4,4,4,12.0
58,0,15.0,144,4,0.0,0,4,4,4,24.0
58,0,9.0,101,50,0.0,0,4,4,4,6.0
59,0,15.0,141,4,0.0,0,4,4,4,15.0
59,0,9.0,101,20,0.0,0,4,4,4,6.0
59,0,30.0,8,0,0.0,0,4,4,4,15.0
60,0,0.0,12,30,0.0,0,4,4,4,3.0
61,1,0.0,93,0,0.0,0,4,4,4,75.0
62,0,0.0,89,0,45.0,0,4,4,4,81.0
63,0,0.0,17,13,0.0,0,4,4,4,6.0
64,0,3.0,103,24,0.0,0,4,4,4,9.0
64,0,12.0,141,17,0.0,0,4,4,4,15.0
64,0,27.0,15,1,0.0,0,4,4,4,39.0
65,0,3.0,156,4,0.0,0,4,4,4,6.0
66,0,6.0,103,47,0.0,0,4,4,4,9.0
66,0,15.0,141,20,0.0,0,4,4,4,15.0
