n_group,n_partitions,num_div_y,num_div_x
264,1,75.0,84.0
265,1,54.0,117.0
266,1,102.0,63.0
267,1,129.0,51.0
268,1,204.0,33.0
269,1,132.0,51.0
270,1,129.0,54.0
271,1,21.0,336.0
272,1,75.0,96.0
273,1,24.0,300.0
274,1,78.0,93.0
275,1,42.0,174.0
276,1,75.0,99.0
277,1,45.0,165.0
278,2,42.0,177.0
279,1,45.0,168.0
280,2,90.0,87.0
281,1,48.0,165.0
282,1,45.0,177.0
283,1,72.0,111.0
284,1,81.0,99.0
285,1,48.0,168.0
286,1,75.0,108.0
287,1,51.0,159.0
288,1,78.0,105.0
289,1,48.0,171.0
290,1,153.0,54.0
291,1,102.0,81.0
292,1,42.0,198.0
293,1,147.0,57.0
294,1,48.0,177.0
295,1,75.0,117.0
296,3,45.0,195.0
297,1,78.0,117.0
298,1,24.0,387.0
299,1,87.0,117.0
300,1,66.0,159.0
301,2,66.0,162.0
302,1,1794.0,6.0
303,1,42.0,258.0
304,1,81.0,135.0
305,1,69.0,159.0
306,1,183.0,60.0
307,1,66.0,168.0
308,1,45.0,252.0
309,2,66.0,174.0
310,1,66.0,177.0
311,1,42.0,279.0
312,1,84.0,141.0
313,1,66.0,180.0
314,1,33.0,366.0
315,1,36.0,339.0
316,1,87.0,141.0
317,1,66.0,186.0
318,1,141.0,90.0
319,1,87.0,147.0
320,1,171.0,75.0
321,1,39.0,348.0
322,1,120.0,114.0
323,1,24.0,570.0
324,1,87.0,162.0
325,1,39.0,366.0
326,1,99.0,147.0
327,1,27.0,558.0
328,1,105.0,162.0
329,1,36.0,483.0
330,1,156.0,114.0
331,1,153.0,120.0
332,1,171.0,108.0
333,1,249.0,84.0
334,1,24.0,879.0
335,1,165.0,132.0
336,1,33.0,660.0
337,1,87.0,255.0
338,1,78.0,288.0
339,1,84.0,270.0
340,1,96.0,237.0
341,1,99.0,234.0
342,1,84.0,276.0
343,1,90.0,258.0
344,1,84.0,279.0
345,1,84.0,288.0
346,1,270.0,90.0
347,1,144.0,174.0
348,1,255.0,99.0
349,1,156.0,162.0
350,1,93.0,276.0
351,1,93.0,279.0
352,1,111.0,234.0
353,1,96.0,273.0
354,1,93.0,285.0
355,1,261.0,105.0
356,1,96.0,294.0
357,1,363.0,90.0
358,1,132.0,255.0
359,1,123.0,279.0
360,1,129.0,267.0
361,1,129.0,279.0
362,1,129.0,285.0
363,1,264.0,150.0
364,1,915.0,48.0
365,1,168.0,267.0
366,1,171.0,270.0
367,1,219.0,225.0
368,1,72.0,717.0
369,1,546.0,96.0
370,1,153.0,345.0
371,1,78.0,678.0
372,1,189.0,291.0
373,1,162.0,363.0
374,1,174.0,345.0
375,1,222.0,273.0
376,1,792.0,105.0
377,1,51.0,1779.0
378,1,87.0,1077.0
379,1,165.0,711.0
380,1,165.0,741.0
381,1,363.0,369.0
382,1,213.0,642.0
383,1,510.0,297.0
384,1,222.0,780.0
385,1,150.0,1395.0
386,1,135.0,1806.0
387,1,282.0,1314.0
388,1,204.0,1956.0
389,1,432.0,1011.0
390,1,678.0,1101.0
391,1,2544.0,399.0
392,1,867.0,1233.0
393,1,477.0,2829.0
394,2,1221.0,1227.0
395,1,1221.0,1230.0
396,6,2598.0,723.0
397,2,1998.0,969.0
398,1,1998.0,972.0
