n_group,n_partitions,num_div_y,num_div_x
231,2,24.0,87.0
232,1,27.0,78.0
233,3,21.0,102.0
234,1,81.0,27.0
235,1,27.0,87.0
236,1,99.0,24.0
237,1,21.0,114.0
238,1,90.0,27.0
239,1,24.0,102.0
240,1,93.0,27.0
241,1,51.0,51.0
242,1,99.0,27.0
243,1,15.0,186.0
244,1,87.0,36.0
245,2,36.0,87.0
246,1,57.0,57.0
247,1,21.0,159.0
248,1,12.0,279.0
249,1,39.0,87.0
250,2,15.0,231.0
251,1,39.0,90.0
252,1,51.0,69.0
253,1,24.0,147.0
254,2,21.0,177.0
255,1,15.0,249.0
256,1,48.0,78.0
257,1,21.0,183.0
258,1,21.0,186.0
259,1,45.0,87.0
260,1,27.0,147.0
261,1,21.0,189.0
262,1,78.0,54.0
263,1,72.0,60.0
264,1,27.0,165.0
265,1,18.0,249.0
266,1,15.0,300.0
267,1,21.0,216.0
268,1,21.0,219.0
269,1,27.0,171.0
270,1,78.0,60.0
271,1,87.0,54.0
272,1,93.0,51.0
273,1,57.0,87.0
274,1,18.0,279.0
275,1,21.0,243.0
276,1,21.0,249.0
277,1,30.0,177.0
278,1,15.0,354.0
279,1,114.0,48.0
280,2,63.0,87.0
281,1,15.0,372.0
282,1,69.0,81.0
283,1,75.0,75.0
284,2,66.0,87.0
285,1,120.0,48.0
286,1,93.0,63.0
287,1,15.0,420.0
288,2,132.0,48.0
289,1,33.0,195.0
290,1,114.0,57.0
291,1,78.0,84.0
292,1,129.0,51.0
293,1,123.0,54.0
294,1,207.0,33.0
295,1,135.0,51.0
296,1,75.0,93.0
297,1,21.0,333.0
298,1,42.0,171.0
299,1,75.0,96.0
300,1,81.0,90.0
301,1,45.0,162.0
302,1,123.0,60.0
303,1,42.0,177.0
304,1,45.0,168.0
305,1,48.0,159.0
306,2,75.0,102.0
307,1,45.0,171.0
308,1,39.0,198.0
309,1,75.0,105.0
310,1,45.0,177.0
311,1,48.0,168.0
312,2,42.0,195.0
313,1,39.0,210.0
314,1,153.0,54.0
315,2,75.0,111.0
316,1,93.0,90.0
317,1,72.0,117.0
318,1,48.0,177.0
319,3,45.0,195.0
320,1,33.0,267.0
321,1,102.0,90.0
322,1,66.0,159.0
323,1,42.0,252.0
324,1,66.0,162.0
325,1,90.0,120.0
326,1,162.0,69.0
327,1,66.0,171.0
328,1,78.0,147.0
329,1,45.0,255.0
330,1,45.0,258.0
331,1,45.0,261.0
332,1,81.0,147.0
333,1,129.0,93.0
