n_group,n_partitions,num_div_y,num_div_x,device_group
0,17,10.0,10.0,6
1,4,20.0,10.0,6
2,4,30.0,10.0,6
3,1,40.0,10.0,6
4,17,10.0,100.0,6
5,1,170.0,100.0,6
6,5,20.0,100.0,6
7,1,10.0,110.0,6
8,1,120.0,1130.0,6
9,2,20.0,120.0,6
10,1,140.0,1220.0,6
11,1,8480.0,1330.0,6
12,1,110.0,1410.0,6
13,1,8700.0,1780.0,6
14,2,10.0,180.0,6
15,4,20.0,180.0,6
16,1,380.0,180.0,6
17,1,40.0,180.0,6
18,6,10.0,190.0,6
19,10,20.0,190.0,6
20,3,30.0,190.0,6
21,1,40.0,190.0,6
22,1,50.0,190.0,6
23,1,10.0,20.0,6
24,2,20.0,20.0,6
25,3,30.0,20.0,6
26,1,5980.0,20.0,6
27,1,240.0,2020.0,6
28,1,260.0,2540.0,6
29,4,30.0,280.0,6
30,1,140.0,290.0,6
31,1,20.0,30.0,6
32,2,30.0,30.0,6
33,1,40.0,30.0,6
34,1,50.0,30.0,6
35,2,40.0,310.0,6
36,1,2640.0,350.0,6
37,1,30.0,370.0,6
38,1,40.0,370.0,6
39,1,50.0,370.0,6
40,1,30.0,380.0,6
41,1,40.0,380.0,6
42,1,8660.0,380.0,6
43,1,640.0,390.0,6
44,1,120.0,40.0,6
45,1,60.0,40.0,6
46,1,70.0,40.0,6
47,1,530.0,4280.0,6
48,1,80.0,470.0,6
49,1,70.0,50.0,6
50,2,60.0,560.0,6
51,1,90.0,570.0,6
52,1,170.0,60.0,6
53,1,60.0,60.0,6
54,1,40.0,660.0,6
55,1,70.0,680.0,6
56,1,60.0,760.0,6
57,1,70.0,790.0,6
58,1,10.0,80.0,6
59,31,10.0,90.0,6
60,1,20.0,90.0,6
