n_group,n_partitions,num_div_y,num_div_x
264,2,21.0,105.0
265,1,57.0,39.0
266,1,93.0,24.0
267,1,108.0,21.0
268,1,84.0,27.0
269,1,24.0,96.0
270,1,129.0,18.0
271,1,18.0,129.0
272,1,111.0,21.0
273,1,87.0,27.0
274,1,12.0,198.0
275,1,15.0,159.0
276,1,30.0,81.0
277,1,36.0,69.0
278,1,78.0,33.0
279,1,66.0,39.0
280,1,96.0,27.0
281,1,48.0,54.0
282,1,111.0,24.0
283,1,81.0,33.0
284,1,27.0,99.0
285,1,102.0,27.0
286,1,93.0,30.0
287,1,96.0,30.0
288,2,18.0,168.0
289,1,15.0,210.0
290,1,15.0,213.0
291,1,21.0,159.0
292,1,24.0,141.0
293,1,39.0,87.0
294,1,96.0,36.0
295,1,21.0,171.0
296,2,42.0,87.0
297,1,96.0,39.0
298,1,117.0,33.0
299,1,15.0,258.0
300,3,45.0,87.0
301,1,69.0,57.0
302,1,120.0,33.0
303,1,21.0,189.0
304,1,18.0,228.0
305,1,69.0,60.0
306,1,66.0,63.0
307,1,21.0,204.0
308,1,96.0,45.0
309,1,12.0,369.0
310,1,45.0,99.0
311,1,27.0,171.0
312,1,105.0,45.0
313,1,48.0,99.0
314,1,69.0,72.0
315,1,21.0,237.0
316,1,93.0,54.0
317,1,12.0,426.0
318,1,108.0,48.0
319,1,15.0,348.0
320,1,15.0,351.0
321,1,69.0,78.0
322,1,72.0,75.0
323,1,60.0,90.0
324,1,108.0,51.0
325,1,66.0,84.0
326,2,69.0,81.0
327,2,126.0,45.0
328,1,159.0,36.0
329,3,66.0,87.0
330,1,69.0,84.0
331,1,129.0,45.0
332,1,63.0,93.0
333,1,114.0,54.0
334,1,15.0,417.0
335,1,75.0,84.0
336,1,240.0,27.0
337,1,108.0,60.0
338,1,12.0,543.0
339,1,69.0,96.0
340,1,129.0,54.0
341,1,123.0,57.0
342,1,69.0,102.0
343,1,21.0,336.0
344,1,36.0,198.0
345,1,126.0,57.0
346,1,42.0,174.0
347,1,57.0,129.0
348,1,156.0,48.0
349,1,66.0,114.0
350,1,45.0,168.0
351,1,66.0,117.0
352,1,39.0,198.0
353,1,90.0,87.0
354,1,75.0,105.0
355,1,51.0,156.0
356,1,48.0,168.0
357,1,93.0,87.0
358,1,51.0,159.0
359,1,144.0,57.0
360,1,33.0,249.0
361,1,153.0,54.0
362,1,138.0,60.0
363,2,42.0,198.0
364,1,42.0,201.0
365,1,48.0,177.0
366,1,36.0,243.0
367,2,45.0,195.0
368,1,102.0,87.0
369,1,87.0,105.0
370,1,141.0,66.0
371,1,90.0,111.0
372,1,45.0,222.0
373,1,66.0,162.0
374,1,1794.0,6.0
375,1,69.0,159.0
376,1,168.0,66.0
377,1,129.0,87.0
378,1,33.0,342.0
379,1,78.0,147.0
380,2,66.0,174.0
381,1,84.0,138.0
382,2,66.0,177.0
383,1,45.0,261.0
384,1,207.0,57.0
385,1,66.0,180.0
386,1,81.0,147.0
387,1,81.0,150.0
388,1,36.0,339.0
389,1,96.0,129.0
390,1,84.0,150.0
391,1,66.0,192.0
392,1,90.0,141.0
393,1,204.0,63.0
394,1,105.0,123.0
395,1,117.0,117.0
396,1,36.0,381.0
397,1,33.0,423.0
398,1,117.0,120.0
399,1,42.0,366.0
400,1,96.0,162.0
401,1,153.0,120.0
402,1,33.0,558.0
403,1,171.0,108.0
404,1,174.0,111.0
405,1,234.0,84.0
406,1,93.0,216.0
407,1,93.0,231.0
408,1,105.0,210.0
409,1,87.0,255.0
410,1,162.0,138.0
411,1,159.0,141.0
412,1,192.0,117.0
413,1,246.0,93.0
414,1,33.0,702.0
415,1,90.0,258.0
416,1,279.0,84.0
417,1,252.0,96.0
418,1,105.0,231.0
419,1,84.0,291.0
420,1,99.0,249.0
421,1,87.0,285.0
422,1,246.0,102.0
423,1,243.0,105.0
424,1,450.0,57.0
425,1,99.0,264.0
426,1,96.0,276.0
427,1,105.0,255.0
428,1,267.0,102.0
429,1,30.0,990.0
430,1,363.0,90.0
431,1,123.0,279.0
432,1,129.0,270.0
433,1,135.0,279.0
434,1,267.0,147.0
435,1,144.0,291.0
436,1,72.0,606.0
437,1,915.0,48.0
438,1,174.0,267.0
439,1,177.0,273.0
440,1,171.0,288.0
441,1,219.0,225.0
442,1,168.0,348.0
443,1,222.0,267.0
444,1,78.0,762.0
445,1,174.0,345.0
446,1,165.0,381.0
447,1,231.0,279.0
448,1,198.0,327.0
449,1,45.0,1452.0
450,1,546.0,138.0
451,1,792.0,105.0
452,1,216.0,387.0
