n_group,n_partitions,num_div_y,num_div_x,device_group
0,51,10.0,10.0,2
1,1,100.0,10.0,2
2,1,140.0,10.0,2
3,3,180.0,10.0,2
4,93,20.0,10.0,2
5,1,260.0,10.0,2
6,81,30.0,10.0,2
7,14,40.0,10.0,2
8,27,50.0,10.0,2
9,15,60.0,10.0,2
10,1,80.0,10.0,2
11,1,90.0,10.0,2
12,1,20.0,100.0,2
13,1,30.0,100.0,2
14,2,40.0,100.0,2
15,3,40.0,110.0,2
16,2,30.0,120.0,2
17,1,530.0,120.0,2
18,1,1380.0,1230.0,2
19,1,30.0,130.0,2
20,1,40.0,130.0,2
21,1,70.0,130.0,2
22,1,20.0,140.0,2
23,1,50.0,140.0,2
24,2,30.0,150.0,2
25,1,350.0,150.0,2
26,1,420.0,150.0,2
27,1,30.0,160.0,2
28,1,20.0,170.0,2
29,1,30.0,170.0,2
30,1,60.0,170.0,2
31,1,430.0,180.0,2
32,1,510.0,180.0,2
33,1,480.0,190.0,2
34,1,50.0,190.0,2
35,16,10.0,20.0,2
36,1,110.0,20.0,2
37,2,130.0,20.0,2
38,8,20.0,20.0,2
39,15,30.0,20.0,2
40,1,320.0,20.0,2
41,6,40.0,20.0,2
42,20,50.0,20.0,2
43,8,60.0,20.0,2
44,3,70.0,20.0,2
45,4,80.0,20.0,2
46,5,90.0,20.0,2
47,1,220.0,210.0,2
48,1,50.0,210.0,2
49,1,7360.0,2110.0,2
50,1,50.0,220.0,2
51,1,560.0,220.0,2
52,1,1870.0,2210.0,2
53,1,40.0,230.0,2
54,1,60.0,240.0,2
55,1,50.0,260.0,2
56,2,60.0,270.0,2
57,1,220.0,280.0,2
58,1,230.0,280.0,2
59,1,250.0,280.0,2
60,1,70.0,280.0,2
61,1,150.0,290.0,2
62,1,340.0,290.0,2
63,1,70.0,290.0,2
64,18,10.0,30.0,2
65,2,100.0,30.0,2
66,3,110.0,30.0,2
67,2,140.0,30.0,2
68,5,20.0,30.0,2
69,6,30.0,30.0,2
70,1,300.0,30.0,2
71,4,40.0,30.0,2
72,6,50.0,30.0,2
73,10,60.0,30.0,2
74,1,70.0,30.0,2
75,6,80.0,30.0,2
76,1,90.0,30.0,2
77,1,1210.0,300.0,2
78,1,200.0,300.0,2
79,1,50.0,300.0,2
80,1,210.0,310.0,2
81,1,820.0,310.0,2
82,1,230.0,320.0,2
83,1,840.0,320.0,2
84,1,230.0,340.0,2
85,1,70.0,340.0,2
86,1,890.0,340.0,2
87,1,60.0,350.0,2
88,1,220.0,380.0,2
89,1,390.0,390.0,2
90,52,10.0,40.0,2
91,3,100.0,40.0,2
92,3,110.0,40.0,2
93,1,120.0,40.0,2
94,3,130.0,40.0,2
95,1,140.0,40.0,2
96,1,150.0,40.0,2
97,1,170.0,40.0,2
98,12,20.0,40.0,2
99,1,270.0,40.0,2
100,1,30.0,40.0,2
101,1,500.0,40.0,2
102,1,60.0,40.0,2
103,1,80.0,40.0,2
104,1,90.0,40.0,2
105,1,190.0,430.0,2
106,1,280.0,460.0,2
107,1,1830.0,4650.0,2
108,1,150.0,4840.0,2
109,1,270.0,490.0,2
110,1,10.0,50.0,2
111,3,110.0,50.0,2
112,2,120.0,50.0,2
113,1,140.0,50.0,2
114,1,150.0,50.0,2
115,1,170.0,50.0,2
116,1,180.0,50.0,2
117,3,20.0,50.0,2
118,1,300.0,50.0,2
119,2,80.0,50.0,2
120,1,90.0,50.0,2
121,1,270.0,500.0,2
122,1,170.0,530.0,2
123,1,70.0,530.0,2
124,1,2890.0,5330.0,2
125,1,150.0,560.0,2
126,1,220.0,580.0,2
127,1,100.0,60.0,2
128,2,20.0,60.0,2
129,1,270.0,60.0,2
130,1,90.0,60.0,2
131,1,150.0,650.0,2
132,5,10.0,70.0,2
133,1,130.0,70.0,2
134,1,140.0,70.0,2
135,1,160.0,70.0,2
136,1,170.0,70.0,2
137,4,20.0,70.0,2
138,1,220.0,70.0,2
139,1,370.0,70.0,2
140,1,350.0,770.0,2
141,5,10.0,80.0,2
142,1,130.0,80.0,2
143,9,20.0,80.0,2
144,1,220.0,80.0,2
145,1,260.0,80.0,2
146,4,30.0,80.0,2
147,1,310.0,80.0,2
148,2,40.0,80.0,2
149,1,330.0,830.0,2
150,1,290.0,850.0,2
151,1,300.0,860.0,2
152,1,150.0,870.0,2
153,1,10.0,90.0,2
154,1,160.0,90.0,2
155,1,180.0,90.0,2
156,1,190.0,90.0,2
157,2,20.0,90.0,2
158,1,250.0,90.0,2
159,1,290.0,90.0,2
160,1,340.0,90.0,2
161,1,800.0,90.0,2
162,1,590.0,910.0,2
163,1,770.0,930.0,2
164,1,290.0,950.0,2
165,1,480.0,970.0,2
