group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,1,0.0,140,0,0.0,0,1,1,1,21.0
0,0,9.0,62,0,0.0,0,1,1,1,6.0
0,2,0.0,147,0,0.0,0,1,1,1,21.0
0,0,15.0,11,37,0.0,0,1,1,1,3.0
0,0,0.0,112,4,0.0,0,1,1,1,9.0
1,0,12.0,122,27,0.0,0,1,1,1,15.0
1,0,6.0,93,33,0.0,0,1,1,1,6.0
1,0,27.0,9,2,0.0,0,1,1,1,24.0
1,0,138.0,116,0,0.0,0,1,1,1,129.0
1,0,90.0,102,0,0.0,0,1,1,1,48.0
1,0,51.0,53,0,0.0,0,1,1,1,39.0
2,1,0.0,1,0,0.0,0,1,1,1,66.0
2,0,0.0,167,0,0.0,0,1,1,1,66.0
3,0,624.0,58,0,0.0,0,1,1,1,435.0
4,0,15.0,125,5,0.0,0,1,1,1,24.0
4,0,9.0,93,107,0.0,0,1,1,1,6.0
4,0,39.0,30,0,0.0,0,1,1,1,36.0
5,0,0.0,50,0,0.0,0,1,1,1,3.0
6,0,0.0,37,0,3.0,0,1,1,1,84.0
7,0,9.0,93,12,0.0,0,1,1,1,6.0
8,0,9.0,94,82,0.0,0,1,1,1,9.0
9,0,6.0,94,81,0.0,0,1,1,1,9.0
9,0,15.0,133,15,0.0,0,1,1,1,9.0
9,1,0.0,61,0,0.0,0,1,1,1,24.0
9,2,9.0,87,9,0.0,0,1,1,1,15.0
10,2,0.0,84,0,123.0,0,1,1,1,27.0
10,1,0.0,81,0,111.0,0,1,1,1,27.0
10,0,0.0,82,0,69.0,0,1,1,1,27.0
11,7,0.0,21,2,3.0,0,1,1,1,3.0
11,9,0.0,21,13,3.0,0,1,1,1,3.0
11,51,0.0,105,0,3.0,0,1,1,1,3.0
11,11,0.0,46,1,3.0,0,1,1,1,3.0
11,53,0.0,144,0,3.0,0,1,1,1,3.0
11,2,0.0,50,0,3.0,0,1,1,1,3.0
11,34,0.0,98,0,3.0,0,1,1,1,3.0
11,5,0.0,46,0,3.0,0,1,1,1,3.0
11,3,0.0,21,7,3.0,0,1,1,1,3.0
11,10,0.0,164,4,6.0,0,1,1,1,3.0
11,48,0.0,138,0,3.0,0,1,1,1,3.0
11,43,0.0,88,5,15.0,0,1,1,1,3.0
11,12,0.0,136,0,3.0,0,1,1,1,3.0
11,49,0.0,164,3,6.0,0,1,1,1,3.0
11,24,0.0,95,0,3.0,0,1,1,1,3.0
11,42,0.0,62,6,3.0,0,1,1,1,3.0
11,33,0.0,62,4,3.0,0,1,1,1,3.0
11,21,0.0,62,5,3.0,0,1,1,1,3.0
11,31,0.0,59,1,3.0,0,1,1,1,3.0
11,19,0.0,62,8,3.0,0,1,1,1,3.0
11,0,0.0,69,0,3.0,0,1,1,1,3.0
11,28,0.0,62,1,3.0,0,1,1,1,3.0
11,8,0.0,88,10,0.0,0,1,1,1,3.0
11,50,0.0,109,0,3.0,0,1,1,1,3.0
11,22,0.0,110,0,3.0,0,1,1,1,3.0
11,41,0.0,24,0,3.0,0,1,1,1,3.0
11,35,0.0,96,0,3.0,0,1,1,1,3.0
11,20,0.0,118,0,3.0,0,1,1,1,3.0
11,18,0.0,137,0,3.0,0,1,1,1,3.0
11,52,0.0,164,2,0.0,0,1,1,1,3.0
11,16,0.0,21,17,3.0,0,1,1,1,3.0
11,26,0.0,113,1,3.0,0,1,1,1,3.0
11,17,0.0,21,10,3.0,0,1,1,1,3.0
12,0,0.0,150,0,0.0,0,1,1,1,30.0
13,0,9.0,94,83,0.0,0,1,1,1,9.0
13,1,18.0,122,23,0.0,0,1,1,1,15.0
13,0,18.0,122,21,0.0,0,1,1,1,15.0
13,1,9.0,94,84,0.0,0,1,1,1,9.0
14,0,15.0,124,1,0.0,0,1,1,1,21.0
14,3,0.0,56,0,0.0,0,1,1,1,36.0
14,2,0.0,68,0,114.0,0,1,1,1,36.0
14,0,9.0,93,32,0.0,0,1,1,1,6.0
14,1,0.0,142,0,0.0,0,1,1,1,36.0
15,1,9.0,93,5,0.0,0,1,1,1,6.0
15,2,9.0,93,24,0.0,0,1,1,1,6.0
15,0,6.0,94,79,0.0,0,1,1,1,9.0
15,0,15.0,125,2,0.0,0,1,1,1,24.0
15,2,15.0,125,1,0.0,0,1,1,1,24.0
15,1,15.0,125,3,0.0,0,1,1,1,24.0
16,1,0.0,47,0,0.0,0,1,1,1,42.0
16,0,0.0,77,0,0.0,0,1,1,1,42.0
17,0,15.0,122,12,0.0,0,1,1,1,15.0
17,0,30.0,7,0,0.0,0,1,1,1,15.0
17,0,6.0,94,90,0.0,0,1,1,1,9.0
18,1,9.0,87,25,0.0,0,1,1,1,15.0
18,1,24.0,154,1,0.0,0,1,1,1,24.0
18,0,9.0,87,27,0.0,0,1,1,1,15.0
18,0,24.0,154,0,0.0,0,1,1,1,24.0
19,1,9.0,93,55,0.0,0,1,1,1,6.0
19,1,15.0,129,0,0.0,0,1,1,1,39.0
19,0,0.0,76,0,0.0,0,1,1,1,54.0
20,0,24.0,158,0,0.0,0,1,1,1,33.0
20,0,9.0,87,18,0.0,0,1,1,1,15.0
21,16,0.0,11,58,0.0,0,1,1,1,3.0
21,15,0.0,1,0,108.0,0,1,1,1,6.0
21,17,0.0,103,0,3.0,0,1,1,1,6.0
21,18,0.0,156,1,0.0,0,1,1,1,3.0
21,2,0.0,141,0,3.0,0,1,1,1,6.0
21,0,0.0,127,10,0.0,0,1,1,1,3.0
21,8,0.0,11,57,0.0,0,1,1,1,3.0
21,7,0.0,65,0,3.0,0,1,1,1,6.0
21,3,0.0,9,1,0.0,0,1,1,1,6.0
21,10,0.0,74,0,3.0,0,1,1,1,6.0
21,6,0.0,1,0,66.0,0,1,1,1,6.0
21,13,0.0,100,0,3.0,0,1,1,1,6.0
21,4,0.0,147,0,108.0,0,1,1,1,6.0
21,5,0.0,140,0,66.0,0,1,1,1,6.0
21,19,0.0,154,3,0.0,0,1,1,1,6.0
21,11,0.0,156,7,0.0,0,1,1,1,3.0
21,14,0.0,167,0,66.0,0,1,1,1,6.0
21,1,0.0,11,54,0.0,0,1,1,1,3.0
21,12,0.0,156,5,0.0,0,1,1,1,3.0
22,0,0.0,67,0,3.0,0,1,1,1,93.0
23,0,0.0,3,0,924.0,0,1,1,1,78.0
24,0,0.0,1,0,138.0,0,1,1,1,87.0
25,0,0.0,146,0,0.0,0,1,1,1,24.0
25,1,0.0,80,0,57.0,0,1,1,1,24.0
26,1,9.0,88,2,0.0,0,1,1,1,18.0
26,0,0.0,56,1,0.0,0,1,1,1,27.0
27,1,0.0,139,0,3.0,0,1,1,1,3.0
27,0,0.0,62,3,3.0,0,1,1,1,3.0
27,2,0.0,62,7,3.0,0,1,1,1,3.0
28,0,15.0,122,13,0.0,0,1,1,1,15.0
28,0,9.0,93,29,0.0,0,1,1,1,6.0
28,1,15.0,122,7,0.0,0,1,1,1,15.0
28,1,6.0,94,78,0.0,0,1,1,1,9.0
29,0,18.0,122,3,0.0,0,1,1,1,15.0
29,0,9.0,94,85,0.0,0,1,1,1,9.0
30,0,15.0,124,4,0.0,0,1,1,1,21.0
30,0,9.0,93,65,0.0,0,1,1,1,6.0
31,0,0.0,167,0,225.0,0,1,1,1,42.0
33,0,18.0,122,5,0.0,0,1,1,1,15.0
33,0,9.0,94,18,0.0,0,1,1,1,9.0
33,0,33.0,9,0,0.0,0,1,1,1,24.0
34,2,0.0,11,40,0.0,0,1,1,1,3.0
34,1,0.0,127,9,0.0,0,1,1,1,3.0
34,0,0.0,11,39,0.0,0,1,1,1,3.0
34,3,0.0,11,38,0.0,0,1,1,1,3.0
36,0,0.0,167,0,144.0,0,1,1,1,81.0
37,0,9.0,87,2,0.0,0,1,1,1,15.0
37,0,48.0,49,0,0.0,0,1,1,1,87.0
37,0,24.0,154,2,0.0,0,1,1,1,24.0
40,1,0.0,71,0,0.0,0,1,1,1,45.0
41,0,6.0,94,32,0.0,0,1,1,1,9.0
