group_0,partition_0,interface_position_0,group_1,partition_1,interface_position_1,unit_type,device_group,device_group_0,device_group_1,interface_qty
0,0,0.0,12,0,1023.0,1,0,0,0,1143.0
1,0,0.0,9,0,0.0,1,0,0,0,12.0
2,3,0.0,13,0,15.0,1,0,0,0,12.0
2,1,0.0,15,0,12.0,1,0,0,0,12.0
2,0,0.0,22,0,12.0,1,0,0,0,12.0
2,7,0.0,24,0,12.0,1,0,0,0,12.0
3,0,6.0,26,0,0.0,1,0,0,0,6.0
3,0,3.0,20,2,0.0,1,0,0,0,3.0
4,0,0.0,32,0,57.0,1,0,0,0,12.0
5,1,0.0,13,0,27.0,1,0,0,0,12.0
5,2,0.0,22,0,24.0,1,0,0,0,12.0
6,0,0.0,18,3,0.0,1,0,0,0,3.0
8,0,60.0,2,4,0.0,1,0,0,0,12.0
8,0,87.0,33,0,0.0,1,0,0,0,9.0
8,0,36.0,14,0,0.0,1,0,0,0,24.0
8,0,96.0,30,2,0.0,1,0,0,0,6.0
8,0,0.0,21,0,0.0,1,0,0,0,36.0
8,0,102.0,32,0,0.0,1,0,0,0,57.0
9,0,0.0,7,0,132.0,1,0,0,0,18.0
10,0,0.0,2,5,0.0,1,0,0,0,12.0
11,1,0.0,11,0,0.0,1,0,0,0,2166.0
12,0,0.0,11,1,0.0,1,0,0,0,2166.0
13,0,99.0,7,0,0.0,1,0,0,0,132.0
14,1,0.0,24,0,24.0,1,0,0,0,24.0
14,0,0.0,2,2,0.0,1,0,0,0,12.0
17,0,0.0,32,0,75.0,1,0,0,0,3.0
17,1,0.0,14,1,21.0,1,0,0,0,3.0
18,5,0.0,31,0,78.0,1,0,0,0,3.0
18,1,0.0,14,1,12.0,1,0,0,0,3.0
18,0,0.0,29,0,3.0,1,0,0,0,3.0
19,8,0.0,32,0,78.0,1,0,0,0,3.0
19,5,0.0,31,0,81.0,1,0,0,0,3.0
19,10,0.0,30,1,0.0,1,0,0,0,3.0
19,3,0.0,1,0,6.0,1,0,0,0,3.0
19,9,0.0,28,0,0.0,1,0,0,0,3.0
19,7,0.0,25,2,0.0,1,0,0,0,3.0
19,0,0.0,27,0,0.0,1,0,0,0,3.0
19,1,0.0,13,0,228.0,1,0,0,0,3.0
19,4,0.0,25,1,0.0,1,0,0,0,3.0
20,5,0.0,9,0,12.0,1,0,0,0,3.0
20,3,0.0,25,0,0.0,1,0,0,0,3.0
20,4,0.0,4,0,6.0,1,0,0,0,3.0
20,1,0.0,30,0,0.0,1,0,0,0,3.0
21,0,0.0,6,0,0.0,1,0,0,0,15.0
21,0,15.0,33,1,0.0,1,0,0,0,9.0
22,0,0.0,13,0,39.0,1,0,0,0,36.0
23,0,15.0,2,8,0.0,1,0,0,0,12.0
23,0,3.0,5,0,0.0,1,0,0,0,12.0
24,0,0.0,13,0,75.0,1,0,0,0,48.0
25,0,0.0,4,0,0.0,1,0,0,0,6.0
25,2,0.0,1,0,0.0,1,0,0,0,6.0
25,1,0.0,13,0,222.0,1,0,0,0,6.0
26,1,3.0,20,0,0.0,1,0,0,0,3.0
26,0,3.0,19,2,0.0,1,0,0,0,3.0
27,0,0.0,32,0,69.0,1,0,0,0,6.0
28,0,0.0,13,0,216.0,1,0,0,0,6.0
29,0,0.0,14,1,15.0,1,0,0,0,6.0
30,0,0.0,34,0,0.0,1,0,0,0,6.0
30,2,3.0,19,6,0.0,1,0,0,0,3.0
30,1,0.0,35,0,0.0,1,0,0,0,6.0
31,0,3.0,23,0,0.0,1,0,0,0,39.0
31,0,0.0,18,4,0.0,1,0,0,0,3.0
31,0,63.0,2,6,0.0,1,0,0,0,12.0
31,0,42.0,10,0,0.0,1,0,0,0,21.0
32,0,0.0,13,0,123.0,1,0,0,0,84.0
33,0,6.0,18,2,0.0,1,0,0,0,3.0
34,0,0.0,7,0,150.0,1,0,0,0,9.0
35,0,0.0,13,0,207.0,1,0,0,0,9.0
