n_group,n_partitions,num_div_y,num_div_x,device_group
0,1,129.0,1143.0,0
1,1,18.0,12.0,0
2,9,3.0,12.0,0
3,1,36.0,12.0,0
4,1,39.0,12.0,0
5,3,6.0,12.0,0
6,1,6.0,15.0,0
7,1,51.0,159.0,0
8,1,66.0,159.0,0
9,1,54.0,18.0,0
10,1,6.0,21.0,0
11,2,561.0,2166.0,0
12,1,564.0,2166.0,0
13,1,96.0,231.0,0
14,2,6.0,24.0,0
15,1,90.0,24.0,0
16,1,12.0,3.0,0
17,2,15.0,3.0,0
18,6,3.0,3.0,0
19,11,6.0,3.0,0
20,6,9.0,3.0,0
21,1,12.0,36.0,0
22,1,9.0,36.0,0
23,1,12.0,39.0,0
24,1,18.0,48.0,0
25,3,15.0,6.0,0
26,2,18.0,6.0,0
27,1,24.0,6.0,0
28,1,30.0,6.0,0
29,1,6.0,6.0,0
30,3,9.0,6.0,0
31,1,66.0,84.0,0
32,1,69.0,84.0,0
33,2,3.0,9.0,0
34,1,30.0,9.0,0
35,1,45.0,9.0,0
